SampleID,Year.Trawl#,Datecode,Date,Month,Year,Bayside,Station,Habitat,DO,Salinity,Temperature
T1PosCon,2020.T1,20200707,7/7/20,7,2020,,POS CON,,,,
T1S1,2020.T1,20200707,7/7/20,7,2020,WEST,PINE NECK,SAND,5.65,30.1,22.3
T1S2,2020.T1,20200707,7/7/20,7,2020,WEST,WEST MID BAY,MUD,6.43,30.2,21
T1S3,2020.T1,20200707,7/7/20,7,2020,WEST,DUNE ROAD,SEAGRASS,4.35,30.4,22.1
T1S5,2020.T1,20200707,7/7/20,7,2020,EAST,PONQUOGUE BRIDGE,SAND,5.8,30.1,22
T1S6,2020.T1,20200707,7/7/20,7,2020,EAST,INLET,SAND,7.07,30.6,20.2
T1S7,2020.T1,20200707,7/7/20,7,2020,EAST,CORMORANT POINT,SEAGRASS,6.81,29,23.8
T1S8,2020.T1,20200707,7/7/20,7,2020,EAST,SHINNECOCK HILLS,SEAGRASS,6.12,28.5,24.4
T1S9,2020.T1,20200707,7/7/20,7,2020,EAST,EAST MID BAY,MUD,6.93,29.9,22.2
T1S10,2020.T1,20200707,7/7/20,7,2020,EAST,SOUTH GRASS,SEAGRASS,6.75,30.2,21.7
T1S11,2020.T1,20200707,7/7/20,7,2020,EAST,LITTLE POND,SEAGRASS,6.01,29.9,22.8
T2PosCon,2020.T2,20200722,7/22/20,7,2020,,POS CON,,,,
T2S1,2020.T2,20200722,7/22/20,7,2020,WEST,PINE NECK,SAND,5.62,31.2,25.6
T2S2,2020.T2,20200722,7/22/20,7,2020,WEST,WEST MID BAY,MUD,6.92,32.9,22.4
T2S3,2020.T2,20200722,7/22/20,7,2020,WEST,DUNE ROAD,SEAGRASS,3.4,32.6,27.2
T2S4,2020.T2,20200722,7/22/20,7,2020,WEST,WEST TIANA,MUD,7.16,33,22.3
T2S5,2020.T2,20200722,7/22/20,7,2020,EAST,PONQUOGUE BRIDGE,SAND,6.3,32.6,24
T2S6,2020.T2,20200722,7/22/20,7,2020,EAST,INLET,SAND,6.8,32.8,23.1
T2S9,2020.T2,20200722,7/22/20,7,2020,EAST,EAST MID BAY,MUD,7.06,32.3,14.7
T2S10,2020.T2,20200722,7/22/20,7,2020,EAST,SOUTH GRASS,SEAGRASS,6.81,33.8,22.2
T2S11,2020.T2,20200722,7/22/20,7,2020,EAST,LITTLE POND,SEAGRASS,7.53,32.3,26.1
T3PosCon,2020.T3,20200805,8/5/20,8,2020,,POS CON,,,,
T3S1,2020.T3,20200805,8/5/20,8,2020,WEST,PINE NECK,SAND,5.33,28.2,23.7
T3S2,2020.T3,20200805,8/5/20,8,2020,WEST,WEST MID BAY,MUD,6.76,30.7,22.6
T3S3,2020.T3,20200805,8/5/20,8,2020,WEST,DUNE ROAD,SEAGRASS,6.01,30.9,24.8
